,Title,Hymn
133,<title>ARA e jek' a jumo rin - Yoruba Baptist Hymns</title>,"<p>1. ARA e jek’ a jumo rin<br/>
N’ ife on alafia;<br/>
A ha le ma tun bere pe,<br/>
O to k’ a ba f’ ija mo?<br/>
Ni irepo<br/>
L’ ayo, ife y’o fi po.</p> <p>2. B’ a ti nrin lo s’ ile, jek’ a<br/>
Ran ‘ra wa lowo l’ ona;<br/>
Ota ka wa nibi gbogbo,<br/>
S’ ona gbogbo l’ a dekun,<br/>
Ise wa ni<br/>
K’ a ma ran ‘ra wa l’ eru.</p> <p>3. Nigbat’ a r’ ohun Baba se,<br/>
T’ O ti fi ji, t’ O nfi ji,<br/>
Ara, ko to k’ awa ko ko<br/>
Lati ma f’ ija sile?<br/>
K’ a mu kuro<br/>
Ohun ‘ba mu ‘binu wa.</p> <p>4. K’ a gb’ omonikeji wag a<br/>
Ju b’ a ba ti gbe ‘ra wa;<br/>
K’ a fi keta gbogbo sile,<br/>
K’ okan wa si kun fun ‘fe,<br/>
Yio row a<br/>
B’ a wa ni irepo l’ aiye.</p> "
134,<title>ESE mi po bi irawo - Yoruba Baptist Hymns</title>,"<p>1. ESE mi po bi irawo,<br/>
B’ iyanrin let’ okun;<br/>
Sugbon iyonu Olorun,<br/>
O papoju be lo.</p> <p>2. Manase, Paul on Magdalen,<br/>
Iwo dariji won;<br/>
Mo ti ka, mo si gbagbo pe<br/>
O ti dariji mi.</p> "
135,"<title>JESU, Iwo li a nwo - Yoruba Baptist Hymns</title>","<p>1. JESU, Iwo li a nwo,<br/>
K’ a repo l’ oruko Re;<br/>
Alade alafia,<br/>
Mu k’ ija tan larin wa.</p> <p>2. Nipa ilaja tire,<br/>
Mu idugbolu kuro:<br/>
Jek’ a dapo si okan,<br/>
F itegun Re s’ arin wa.</p> <p>3. Jek’ a wa ni okan kan,<br/>
K’ a se anu at’ ore;<br/>
K’ a tutu l’ero, l’ okan,<br/>
Gege bi Oluwa wa.</p> <p>4. K’ a s’ aniyan ara wa,<br/>
K’ a ma r’ eru ara wa,<br/>
K’ a f’ apere fun ijo,<br/>
B’ olugbagbo ti gbe po.</p> <p>5. K’ a kuro ni ibinu,<br/>
K’ asimi le Olorun;<br/>
K’ a so ti ibu ife,<br/>
At’ iwa giga mimo.</p> <p>6. K’ a f’ ayo kuro l’ aiye<br/>
Lo si ijo ti orun;<br/>
K’ a f’ iye angeli fo,<br/>
K’ a le ku b’ eni mimo.</p> "
136,<title>ALAIMO lie mi - Yoruba Baptist Hymns</title>,"<p>1. ALAIMO lie mi,<br/>
Olorun Oluwa!<br/>
Emi ha gbodo sunmo O<br/>
T’ emi t’ eru ese?</p> <p>2. Eru ese yii npa<br/>
Okan buburu mi;<br/>
Yio ha si ti buru to,<br/>
L’ oju Re mimo ni!</p> <p>3. Emi o ha si ku<br/>
Ni alainireti<br/>
Mo r’ ayo ninu iku Re,<br/>
Fun otosi b’ emi.</p> <p>4. Eje ni ti O ta,<br/>
Ti ‘se or-ofe Re,<br/>
Le w’ elese t’ o buruju,<br/>
Le m’ okan lile ro.</p> <p>5. Mo wole l’ ese Re,<br/>
Jo k’ O dariji mi;<br/>
Nihin l’ emi o wa titi<br/>
‘Wo o wipe, “Dipe.”</p> "
137,<title>WO! b' o ti dun to lati ri - Yoruba Baptist Hymns</title>,"<p>1. WO! b’ o ti dun to lati ri<br/>
Awon ara t’ o re;<br/>
Ara ti okan won s’ okan,<br/>
L’ egbe ide mimo.</p> <p>2. ‘Gba isan ‘fe t’ odo Krist’ sun,<br/>
O san s’ okan gbogbo;<br/>
‘Lafia Olodumare<br/>
Dabo bo gbogbo re.</p> <p>3. O dabi ororo didun,<br/>
Ni irugbon Aaron’;<br/>
Kikan re m’ aso re run ‘ re,<br/>
O san s’ agbada re.</p> <p>4. O dara b’ iri owuro<br/>
T’ o nse s’ oke Sion’,<br/>
Nibit’ Olorun f’ ogo han,<br/>
T’ O m’ ore-ofe han.</p> "
138,<title>MO ti mb'ese rin ti pe - Yoruba Baptist Hymns</title>,"<p>1. MO ti mb’ese rin ti pe,<br/>
Pin wa n’iya, Oluwa,<br/>
Ore’parun ni tire,<br/>
Gba mi Jesu, mo segbe.</p> <p>2. ko s’ anfani ti mo ri<br/>
L’ ara ati l’ okan mi,<br/>
Gbogbo re l’ o dibaje,<br/>
Jesu gba mi, mo segbe.</p> <p>3. Mo r’ iye nin’ oro Re,<br/>
Ibagbe Re si wu mi,<br/>
Ese di mi mu sinsin<br/>
Gba mi Jesu, jo gba mi.</p> <p>4. O ha dake ki nsegbe,<br/>
Nitori ailera m?<br/>
Oha jowo mi f’ ese?<br/>
K’ a ma ri, Jesu gba mi.</p> <p>5. Iwo t’ o r’ ode,<br/>
Iyanju mi han si O,<br/>
O mo bi mo ti nja to,<br/>
O r’ omije ‘koko mi.</p> <p>6. Ese fie won de mi,<br/>
Da mi, Oluwa da mi,<br/>
Iwo ni ngo sin titi,<br/>
Jesu Olugbala mi.</p> "
139,<title>GBEKE re le Oluwa - Yoruba Baptist Hymns</title>,"<p>1. GBEKE re le Oluwa,<br/>
F’ oro Re s’ agbara re;<br/>
Y’o duro ti o lailai,<br/>
B’ orun tile koja lo.</p> <p>2. N’nu gbogbo iji aiye,<br/>
‘Wo o ma r’ itunu Re,<br/>
Gbo ileri iranwo,<br/>
P’, “Emi ni, mase beru.”</p> <p>3. K’ aniyan re w’ odo Re,<br/>
Duro l’ agbegbe ite,<br/>
On yio fa o l’owo,<br/>
Yio mu o de ‘le rere.</p> <p>4. K’ aniyan re w’ odo Re,<br/>
Ni wakati wahala,<br/>
Nje gb’ ara le oro Re,<br/>
Gbeke re le Oluwa.</p> "
140,"<title>OLUGBALA, lie se Re - Yoruba Baptist Hymns</title>","<p>1. OLUGBALA, lie se Re<br/>
L’olote kan wole ,<br/>
O si f’igboiya gb’oju wo<br/>
‘Te anu Re loke.</p> <p>2. Bi omije aro ba to<br/>
San ‘gbese ti mo je,<br/>
Ekun ‘ba ma san li aida<br/>
L’oju mi mejeji.</p> <p>3. Ki s’ebo yi ni mo mu wa<br/>
Fun ‘mukuro ese;<br/>
Bikose ekun t’O ti sun<br/>
At’eje t’O ta ‘le.</p> <p>4. ‘Tori iya Re ni mo be,<br/>
Dari ese ji mi:<br/>
Ododo Re ki y’o kop e<br/>
Ki elese k’o la.</p> "
141,<title>MO duro de Olorun mi - Yoruba Baptist Hymns</title>,"<p>1. MO duro de Olorun mi,<br/>
O si gbo igbe mi,<br/>
O ri mo simi l’ oro Re,<br/>
O si mu ‘gbala wa.</p> <p>2. O yo mi l’ ogbun okunkun,<br/>
Nibiti mo ns’ ofo,<br/>
O si yo ese mi kuro<br/>
Ninu afo ese</p> <p>3. O gbe mi s’ ori apata,<br/>
O si ko ahon mi,<br/>
Lati yin ise owo Re,<br/>
Pelu orin ope.</p> <p>4. Bi iyonu Re ti po to!<br/>
B’ anu Re ti ga to!<br/>
Oro at’ aye wa ko to<br/>
Lati ka iye won.</p> "
142,<title>IBU ife! O le je - Yoruba Baptist Hymns</title>,"<p>1. IBU ife! O le je<br/>
Pe a p’anu mo fun mi;<br/>
Olorun mi ha le da<br/>
‘Binu ro fun elese?</p> <p>2. Mo ti mb anu ja tip e!<br/>
Mo ti nbi n’inu tip e!<br/>
Mo di ‘ti si ife Re,<br/>
Mo f’op’ese bi ninu.</p> <p>3. Jesu dahun lat’ oke,<br/>
O ki ha se kik’ife?<br/>
Mo wole li ese Re,<br/>
O k’yo ha m’ oju kuro?</p> <p>4. Mu mi te si ironu,<br/>
Ki nle sokun f’ese mi,<br/>
Ki nkedun fun iwa mi,<br/>
Ki ngbagbo, kin ma se mo.</p> "
143,<title>ABA le n' igbagbo aye - Yoruba Baptist Hymns</title>,"<p>1. ABA le n’ igbagbo aye,<br/>
B’ o ti wu k’ ota po;<br/>
Igbagbo ti ko je mira<br/>
Fun aini at’ os</p> <p>2. Igbagbo ti ko je rahun,<br/>
Labe ibawi Re;<br/>
Sugbon ti nsimi l’ Olorun<br/>
Nigba ibanuje.</p> <p>3. Igbagbo tin tan siwaju,<br/>
Gbat iji ‘ponju de;<br/>
Ti ko si je siyemeji,<br/>
N’nu wahala gbogbo.</p> <p>4. Igbagbo ti ng’ ona toro,<br/>
Titi emi o pin;<br/>
Ti y’o si f’ imole orun<br/>
Tan akete iku.</p> <p>5. Jesu f’ igbagbo yi fun wa<br/>
Nje, b’ o ti wu k’ o ri,<br/>
Lat’ aiye yi lo ngo l’ ayo,<br/>
Ilu orun rere.</p> "
144,<title>WO Oluwa oke - Yoruba Baptist Hymns</title>,"<p>1. WO Oluwa oke,<br/>
Ati abe ‘sanma;<br/>
Mo do bale li ese Re,<br/>
Mo nke fun anu Re.</p> <p>2. Dari ‘were ji mi,<br/>
Ese ti mo ti da;<br/>
So fun okan ofo, po ye<br/>
Nip’ Omo bibi Re.</p> <p>3. Ebi, bi eru nla<br/>
Wa l’ori okan mi,<br/>
Iwo ni mo roe dun fun,<br/>
‘Wo ni mo sokun ba.</p> <p>4. Inira ti mo ri,<br/>
‘Wo lo le mu kuro;<br/>
Oluwa f’idariji han,<br/>
At’opo ife Re.</p> <p>5. Oju anu Re kan<br/>
Ko f’aiya mi bale,<br/>
Je kin mo p’a dariji mi,<br/>
Ngo d’alabukunfun.</p> "
145,<title>IFE orun t' o teriba - Yoruba Baptist Hymns</title>,"<p>1. IFE orun t’ o teriba<br/>
Lati pin ninu ekun wa:<br/>
Iwo l’ a k’ aniyan wa le,<br/>
Ko si nkan gbat’ O sunmo wa.</p> <p>2. B’ ona ajo wa tile gun,<br/>
T’ ibanuje kun odun won;<br/>
A kio ya, be l’ a kio beru,<br/>
Okan wa nso p’ O sunmo wa.</p> <p>3. Nigbat’ ayo d’ ibanuje,<br/>
Ti igbagbo si d’ ifoiya,<br/>
Afele at’ ewe ti nfe,<br/>
Nwon nso fun wa p’ O sunmo wa.</p> "
146,"<title>OLUWA, Ob' Alase - Yoruba Baptist Hymns</title>","<p>1. OLUWA, Ob’ Alase,<br/>
A wole ni ese Re;<br/>
Gbo igbe itara wa,<br/>
Bi O ba r’ oju, ao ku.</p> <p>2. O to, bi oko iku<br/>
Ba gun, okan ebi wa,<br/>
O to, bi ategun Re<br/>
F’ iku ailopin pa ni.</p> <p>3. Jesu gba okan ‘ku wa,<br/>
Mu emi are soji;<br/>
A nra ninu ekuru,<br/>
Jesu mase je k’ a ku.</p> "
147,"<title>ISIMI wa l' orun, ko si l' aiye yi - Yoruba Baptist Hymns</title>","<p>1. ISIMI wa l’ orun, ko si l’ aiye yi,<br/>
Emi o se kun, ‘gbat’ iyonu ba de;<br/>
Simi okan mi, eyikeyi t’ o de,<br/>
O dun ajo mi ku, o mu k’ ile ya.</p> <p>2. Ko to fun mi kin ma simi nibi yi,<br/>
Ki nsi ma ko le ‘le mi ninu aiye yi;<br/>
Ongbe ilu t’ a ko f’ owo ko ngbe mi,<br/>
Mo nreti aiye tie se ko baje.</p> <p>3. Egun esusu le ma hu yi mi ka,<br/>
Sugbon emi ko nig be ‘ra le aiye;<br/>
Emi ko wa isimi kan ni aiye,<br/>
Tit’, em’ o fi simi l’ aiya Jesu mi.</p> <p>4. Jek’ idanwo at’ ewu wa l’ ona mi,<br/>
Nwon mu k’ orun tubo dun nigb’ aiye pin;<br/>
Ibanuje tab’ ohunkohun le de,<br/>
Wakati kan lodo Jesu to fun mi.</p> "
148,<title>EBI ese npa mi l' eru - Yoruba Baptist Hymns</title>,"<p>1. EBI ese npa mi l’ eru,<br/>
O te ori mi ba,<br/>
Oluwa fi okan eran<br/>
Paro t’ okuta mi.</p> <p>2. Mo de, eru ese npa mi,<br/>
Iku mba mi l’ eru;<br/>
F’ eje Re te ‘dariji mi,<br/>
Si le eru mi lo.</p> <p>3. Okan mi ko le r’ simi<br/>
Titi ngo fi kigbe<br/>
Li abe agbelebu Re,<br/>
Pe, “Jesu ku fun mi.”</p> <p>4. Fun mi lati ni igbagbo,<br/>
Ati iriri yi,<br/>
Titi iwa ogbo yio lo,<br/>
T’ okan mi yio d’ orun.</p> "
149,<title>IGBA wa mbe li owo Re - Yoruba Baptist Hymns</title>,"<p>1. IGBA wa mbe li owo Re,<br/>
A fe ko wa nibe;<br/>
A fie mi at’ ara wa<br/>
Si abe iso Re.</p> <p>2. Igba wa mbe li owo Re,<br/>
Awa o se beru?<br/>
Baba ki y’o je k’ omo Re,<br/>
Sokun li ainidi.</p> <p>3. Igba wa mbe li owo Re,<br/>
‘Wo l’ a o gbekele;<br/>
Tit’ a o f’ aiye osi ‘le<br/>
T’ a o si r’ ogo Re.</p> <p>4. Igba wa mbe li owo Re<br/>
Ngo ma simi le O,<br/>
Lehin iku, low, otun Re.<br/>
L’ em o wa titi lai.</p> "
150,"<title>OLUWA, sanu, dariji - Yoruba Baptist Hymns</title>","<p>1. OLUWA, sanu, dariji;<br/>
Da okan t’o yipada si;<br/>
Ki sip e anu Re tobi<br/>
Elese ko le ro mo O?</p> <p>2. Ese mi po, sugbon ko le<br/>
Ju agbara ore Re lo;<br/>
Titobi Re ko ni opin,<br/>
Be ge ni k’a ri ife Re.</p> <p>3. We ese kuro l’okan mi,<br/>
Si mu okan ebi mi mo;<br/>
L’okan mi ni eru na wa,<br/>
Ese ehin ro mi loju.</p> <p>4. Ete mi f’ itiju jewo<br/>
Ese s’ ofin at’ ore Re<br/>
Bi idajo Re yio ba le,<br/>
Mo j’ ebi, are ni Tire.</p> <p>5. B’ idajo kankan gb’ emi mi,<br/>
L’ oju ‘ku ngo da O l’ are,<br/>
B’ a si ran mi lo s’ iparun<br/>
Tito ni l’ oju ofin Re.</p> <p>6. Sibe, gba elese t’ o ngbon,<br/>
Ti ireti re nra baba,<br/>
Bi o le r’ ileri didun<br/>
Lati ba le n’nu oro Re.</p> "
151,<title>NIHIN l' ayida wa - Yoruba Baptist Hymns</title>,"<p>1. NIHIN l’ ayida wa,<br/>
Ojo, erun nkoja;<br/>
Ile ni nyan, ti o si nsa,<br/>
‘Tana dada si nku;<br/>
Sugbon oro Jesu duro,<br/>
“Ngo wa pelu re” ni On wi.</p> <p>2. Nihin l’ ayida wa;<br/>
L’ ona ajo orun;<br/>
Ninu ‘gbagbo, ‘reti at’ eru,<br/>
N’nu ‘fe s’ Olorun wa;<br/>
A nsaika oro yi sip o!<br/>
“Ngo wa pelu re” ni On wi.</p> <p>3. Nihin l’ ayida wa;<br/>
Sugbon l’ arin eyi,<br/>
L’ arin ayidayid’ aiye,<br/>
Okan wa ti ki yi;<br/>
Oro Jehofa ki pada;<br/>
“Ngo wa pelu re” ni On wi.</p> <p>4. Ona alafia,<br/>
Emmanueli wa,<br/>
Majemu ti ore-ofe;<br/>
Lai nwon ki yipada;<br/>
“Nki yipada,” l’ oro Baba,<br/>
“Ngo wa pelu re” ni On wi.</p> "
152,"<title>IYE wa ni wiwo, Enit a kan mo 'gi - Yoruba Baptist Hymns</title>","<p>1. IYE wa ni wiwo, Enit a kan mo ‘gi<br/>
Iye wa nisisiyi fun o;<br/>
Nje wo O elese k’ o le ri igbala,<br/>
Wo Enit’ a kan mo ‘gi fun o.</p> <p style=""padding-left: 40px;"">Refrain</p> <p style=""padding-left: 40px;"">Wo! wo! wo k’ o ye,<br/>
Iye wa ni wiwo Enit’a kan mo gi<br/>
Iye wa nisisiyi fun o.</p> <p>2. Kil’ o se ti On fi dabi<br/>
Bi a ko gb’ ebi re ru Jesu!<br/>
Eje ‘wenumo se san lati iha Re,<br/>
B’ iku Re ko j’ etu f’ ese re?</p> <p style=""padding-left: 40px;"">Refrain</p> <p style=""padding-left: 40px;"">Wo! wo! wo k’ o ye,<br/>
Iye wa ni wiwo Enit’a kan mo gi<br/>
Iye wa nisisiyi fun o.</p> <p>3. Ki s’ ekun ‘piwada ati adura re,<br/>
Eje na l’ o s’ etutu f’ okan;<br/>
Gbe eru ese re lo si odo Eni,<br/>
Ti o tit a eje na sile.</p> <p style=""padding-left: 40px;"">Refrain</p> <p style=""padding-left: 40px;"">Wo! wo! wo k’ o ye,<br/>
Iye wa ni wiwo Enit’a kan mo gi<br/>
Iye wa nisisiyi fun o.</p> <p>4. Ma siyemeji s’ ohun t’ Olorun wi,<br/>
Ko s’ohun t’o ku lati se mo,<br/>
Ati pe On yio wa nikehin aiye,<br/>
Y’o si s’asepari ise Re.</p> <p style=""padding-left: 40px;"">Refrain</p> <p style=""padding-left: 40px;"">Wo! wo! wo k’ o ye,<br/>
Iye wa ni wiwo Enit’a kan mo gi<br/>
Iye wa nisisiyi fun o.</p> <p>5. Nje wa f’ayo gba iye ainipekun,<br/>
Ni owo Jesu ti fifun ni;<br/>
Si mo daju pe iwo ko si le ku lai,<br/>
N’gbati Jesu Ododo re wa.</p> <p style=""padding-left: 40px;"">Refrain</p> <p style=""padding-left: 40px;"">Wo! wo! wo k’ o ye,<br/>
Iye wa ni wiwo Enit’a kan mo gi<br/>
Iye wa nisisiyi fun o.</p> "
153,<title>A IGBAGBO bila! T' emi l' Oluwa - Yoruba Baptist Hymns</title>,"<p>1. A IGBAGBO bila! T’ emi l’ Oluwa<br/>
On o si dide fun igbala mi;<br/>
Ki nsa ma gbagura, On o se ‘ranwo;<br/>
‘Gba Krist’ wa lodo mi, ifoiya ko si.</p> <p>2. B’ ona mi bas u, On l’ O san to mi,<br/>
Ki nsa gboran sa, On o si pese;<br/>
B’ iranlowo eda gbogbo ba saki,<br/>
Oro t’ enu Re so y’o bori dandan.</p> <p>3. Ife t’ o nfi han, ko je ki nro pe,<br/>
Y’o fi mi sile ninu wahala;<br/>
Iranwo ti mo si nri lojojumo,<br/>
O nki mi l’ aiya pe emi o la ja.</p> <p>4. Emi o se kun tori iponju,<br/>
Tabi irora? O ti so tele!<br/>
Mo m’ oro Re p’ awon ajogun ‘gbala,<br/>
Nwon ko le sai koja larin wahala.</p> <p>5. Eda ko le so kikoro ago<br/>
T’ Olugbala mu k’ elese le ye;<br/>
Aiye Re tile buru ju t’emi lo,<br/>
Jesu ha le jiya, k’ emi si ma sa.</p> <p>6. Nje b’ ohun gbogbo ti nsise ire,<br/>
Adun n’ ikoro, onje li ogun;<br/>
B’ oni tile koro, sa ko nip e mo,<br/>
Gbana orin ‘segun yio ti dun to!</p> "
154,"<title>ENIT' o ba gbo, kigbe iro na - Yoruba Baptist Hymns</title>","<p>1. ENIT’ o ba gbo, kigbe iro na,<br/>
Ran ihinrere na si gbogbo aiye<br/>
Tan ihin na ka ‘bi gbogbo t’ enia wa,<br/>
“Enit’ o ba fe le wa?<br/>
“Enit’ o ba fe, Enit’ o ba fe?”<br/>
Ran akede s’ oke ati petele;<br/>
Baba on ife l’ o np’ asako wa ‘le<br/>
“Enit’ o ba fe le wa?”</p> <p>2. Enit’ o ba nbo ko ye k’ o duro,<br/>
Ilekun si nisisiyi, wa wole;<br/>
Jesu nikan li Ona, Iye, Oto,<br/>
“Enit’ o ba fe le wa.</p> <p>3. “Enit’ o ba fe,” a pa ‘leri na mo;<br/>
“Enit’ o ba fe,” yio duro titi lai<br/>
“Enit’ o ba fe,” iye ni titi lai;<br/>
“Enit’ o ba fe le wa.</p> "
155,<title>OLORUN Olodumare - Yoruba Baptist Hymns</title>,"<p>1. OLORUN Olodumare,<br/>
Alanu, Olore,<br/>
Iwo l’ O da gbogbo aiye,<br/>
Ati orun pelu.</p> <p>2. Gbat’ O da Adam’, baba wa<br/>
S’ inu ogba Eden’,<br/>
Ko s’ ohun t’ o lalasi re,<br/>
O wa ni irora.</p> <p>3. Sugbon nigbati o subu,<br/>
O pa ase Re da,<br/>
Pe, “Lati ogun oju re<br/>
N’yo r’onje onje ojo re.</p> <p>4. Titi d’oni lie gun yi<br/>
Wa lor’awon ‘mo re,<br/>
Ti nwon nse lala f’onje won,<br/>
Lati gb’emi won ro.</p> <p>5. Jesu f’ id’ ise, won mule,<br/>
Gba wa lowo ota,<br/>
Pese fun nwon nigbagbogbo,<br/>
Ki nwon le wa fun O.</p> "
156,<title>ELESE e yi pada - Yoruba Baptist Hymns</title>,"<p>1. ELESE e yi pada,<br/>
Ese ti e o fi ku?<br/>
Eleda nyin ni nbere;<br/>
T’ O fe ki e ba On gbe:<br/>
Oran nla ni O mbi nyin,<br/>
Ise owo Re ni nyin,<br/>
A! enyin alailope,<br/>
Ese t’e o ko, ‘fe Re.</p> <p>2. Elese e yi pada,<br/>
Ese ti e o fi ku?<br/>
Olugbala ni mbere,<br/>
Enit’ o gb’ emi nyin la;<br/>
Iku Re y’o j’ asan bi?<br/>
E o tun kan mo ‘gi bi?<br/>
Eni ‘rapada, ese<br/>
Tie o gan ore Re?</p> <p>3. Elese e yi pada<br/>
Ese ti e o fi ku?<br/>
Emi Mimo ni mbere<br/>
Ti nf’ ojo Gbogbo ro nyin<br/>
E ki o ha gb’ ore Re?<br/>
E o ko iye sibe?<br/>
A ti nwa nyin pe, ese<br/>
T’ e mbi Olorun ninu?</p> <p>4. Iyemeji ha nse nyin<br/>
Pe ife ni Olorun,<br/>
E ki o ha gb’ oro Re?<br/>
K’e gba ileri Re gbo?<br/>
W’ oluwa nyin l’ odo nyin,<br/>
Jesu nsun: w’ omije Re<br/>
Eje Re pelu nke pe,<br/>
“Ese ti e o fi ku?”</p> "
157,"<title>OLUWA, ki s'agbara mi - Yoruba Baptist Hymns</title>","<p>1. OLUWA, ki s’agbara mi<br/>
Bi mo ye, bi mo ku;<br/>
Lati sin O ni ipin mi,<br/>
Iwo ni si fun ni.</p> <p>2. B’emi mi gun emi o yo<br/>
Lati sin O titi,<br/>
B’ o si kuru, em’ o se ko<br/>
Lati lo ‘le orun?</p> <p>3. Ona mi ko s’okun ju ‘yi<br/>
Ti Jesu pa ti rin;<br/>
Ko s’eniti wo ‘joba Re<br/>
Lai gb’ona t’ O la ‘le.</p> <p>4. Wa, Oluwa, gbat’or’-ofe<br/>
Mu mi ri oju Re;<br/>
B’ise Re l’aiye ba l’adun,<br/>
B’ogo Re o ti ri?</p> <p>5. ‘Gbana l’arodun mi y’o pin,<br/>
Are at’ese mi;<br/>
Ngo sidapo m’awon mimo,<br/>
Ti nyin oruko Re.</p> <p>6. Emi ko mo b’orun ti ri<br/>
Oju gbagbo sokun;<br/>
Sugbon Jesu mo, eyi to,<br/>
Ngo si wa pelu Re.</p> "
158,<title>OLUWA mo gb' ohun Re - Yoruba Baptist Hymns</title>,"<p>1. OLUWA mo gb’ ohun Re,<br/>
Ti npe mi wa ‘do Re,<br/>
Fun ‘wenumo n’nu eje Re<br/>
T’o san ni Kalfari.<br/>
Mo Mbo Oluwa,<br/>
Mo Mbo s’ odo Re<br/>
We mi ninu eje Re<br/>
T’ o nsan ni Kalfari.</p> <p>2. Bi mo nbo nnu ailera<br/>
‘Ranlowo Re daju<br/>
‘Wo mu ailera mi kuro<br/>
Emi si di mimo.</p> <p>3. Jesu li o pe mi<br/>
Si ‘gbagbo on ife,<br/>
Si ‘reti ati eje Re<br/>
T’ o nsan ni Kalfari.</p> <p>4. Jesu ni o nsise<br/>
Ibukun ninu mi<br/>
Nipa opo ore ofe<br/>
N’ ibi t’ ese njoba.</p> <p>5. O si fi eleri<br/>
Si okan otito<br/>
Pe ileri gbogbo yo se<br/>
Bi a be n’ igbagbo.</p> <p>6. A eje etutu<br/>
A! ore ‘rapada<br/>
A ebun krist’ Oluwa wa,<br/>
L’ okun ododo wa,</p> "
159,<title>B'AIYE mi kun fun 'banuje - Yoruba Baptist Hymns</title>,"<p>1. B’AIYE mi kun fun ‘banuje,<br/>
O dara, o te mi l’orun;<br/>
Laikun mo nreti ipe Re,<br/>
Gbogbo nkan ni emi ntoro.</p> <p>2. Emi kio wa ayokayo,<br/>
Lehin ki nle se ife Re,<br/>
Kio wa ‘ranwo ninu lala,<br/>
Lehin eyit’O le fun m</p> <p>3. Aiye l’opin: k’a ma jeki<br/>
Aniyan aiye gb’okan wa;<br/>
Tire ni lati ka ‘jo wa,<br/>
Tiwa lati fi won yin O.</p> <p>4. Igbagbo nikan n’ise wa,<br/>
Igbagbo t’o duro sinsin;<br/>
Ojo na ti l’abukun to,<br/>
T’ awon enia Re fi sin O.</p> "
160,<title>MURA elese lati gbon - Yoruba Baptist Hymns</title>,"<p>1. MURA elese lati gbon,<br/>
Ma duro de ojo ola;<br/>
Niwon b’ o ti kegan ogbon,<br/>
Be l’ o si soro lati ri.</p> <p>2. Mura lati bere anu,<br/>
Ma duro de ojo ola;<br/>
Ki igba re ko ma ba tan,<br/>
Ki ojo ale yi to tan.</p> <p>3. Mura, elese, k’ o pada,<br/>
Ma duro de ojo ola;<br/>
Nitori k’ egun ma be o,<br/>
K’ ojo ola k’ o to bere.</p> <p>4. Mura lati gba ibukun,<br/>
Ma duro de ojo ola;<br/>
Ki fitila re ma ba ku,<br/>
K’ ise rere re to bere.</p> <p>5. Oluwa, y’ elese pada,<br/>
Ji kuro ninu were re;<br/>
Ma je k’ o tapa s’ imo Re,<br/>
K’ o ma f’ egbe re se ‘lora.</p> "
161,"<title>ONA Re, Oluwa - Yoruba Baptist Hymns</title>","<p>1. ONA Re, Oluwa,<br/>
B’ o ti wu k’ o su to,<br/>
Masai f’ owo ‘tun Re to mi,<br/>
Yan ipa mi fun mi.</p> <p>2. Nko gbodo yan ‘pin mi,<br/>
Nko tile je yan a;<br/>
Sugbon yan fun mi, Olorun,<br/>
Ngo si ma rin dede.</p> <p>3. Kun ago mi pelu<br/>
Ayo tabi edun,<br/>
B’ o ba ti ye l’ oju Re sa,<br/>
Ki O yan ipin mi.</p> <p>4. Yan ore mi fun mi,<br/>
Aisan tab’ ilera,<br/>
Yan ayo at, aniyan mi,<br/>
Aini tabi oro.</p> <p>5. Yiyan ki se t’emi<br/>
Ninu ohun gbogbo;<br/>
Se agbara at’ oluto,<br/>
Ogbon, on gbogbo mi.</p> "
162,<title>ESE ti e ko le sailo - Yoruba Baptist Hymns</title>,"<p>1. ESE ti e ko le sailo<br/>
Emi nyin danu lor’ asan,<br/>
Ti ohun kanso, na t’ o ye,<br/>
Ko si n’nu gbogbo ero nyin?</p> <p>2. Olorun npe lat’ oke wa,<br/>
Jesu nfi ‘fe iku Re ro,<br/>
Okan ebi ko ye yonu,<br/>
Gbogbo re yio ha lo lasan?</p> <p>3. Bayi, k’ oju re yio ma ri<br/>
Ohun t’o gb’ okan re titi;<br/>
Beko, l’ aiyeraiye yio ri,<br/>
Gbat’ akoko iku ba de.</p> <p>4. Olorun fun ni l’ ore Re<br/>
F’ imole si okan gbogbo,<br/>
K’ a ma lo emi t’ O dasi,<br/>
Danu lori ohun asan.</p> "
163,"<title>MA toju, Jehofah nla - Yoruba Baptist Hymns</title>","<p>1. MA toju, Jehofah nla,<br/>
Ero l’ aiye osi yi,<br/>
Emi ko l’ okun, iwo ni,<br/>
F’ ow’ agbara di mi mu,<br/>
Onje orun,<br/>
Ma bo mi titi lailai.</p> <p>2. S’ ilekun isun ogo ni,<br/>
Orisun imarale;<br/>
Jeki imole Re orun<br/>
Se amona mi jale;<br/>
Olugbala,<br/>
S’ agbara at’ asa mi</p> <p>3. Gba mo ba te eba Jordan’<br/>
Da ajo eru mi nu,<br/>
Iwo t’ O ti segun iku,<br/>
Mu mi gunle Kenaan je;<br/>
Orin iyin<br/>
L’ emi o fun O titi.</p> "
